GRB Name: 220907A, Detection Day: 14:05:25, Detection Time: 1123129, XRT RA Coordinates: 268.86917:55:28.6, Redshift: -20.303-20:18:10.8
GRB Name: 220831A, Detection Day: 13:56:33, Detection Time: BAT/GUNAO, XRT RA Coordinates: 24.255001:37:01.2, Redshift: -41.5818-41:34:54.5
GRB Name: 220826A, Detection Day: 11:55:21, Detection Time: 1121751, XRT RA Coordinates: 206.42113:45:41.0, Redshift: -44.036-44:02:09.6
GRB Name: 220813A, Detection Day: 19:23:03, Detection Time: 1120270, XRT RA Coordinates: 81.50105:26:00.2, Redshift: -32.985-32:59:06.0
GRB Name: 220806A, Detection Day: 18:08:39, Detection Time: 1119268, XRT RA Coordinates: 260.85817:23:25.9, Redshift: -26.021-26:01:15.6
GRB Name: 220730A, Detection Day: 15:48:55, Detection Time: 1118357, XRT RA Coordinates: 224.98814:59:57.1, Redshift: -69.496-69:29:45.6
GRB Name: 220715B, Detection Day: 22:24:42, Detection Time: 1116441, XRT RA Coordinates: 254.86016:59:26.4, Redshift: -33.586-33:35:09.6
GRB Name: 220714B, Detection Day: 13:58:04, Detection Time: 1116221, XRT RA Coordinates: 47.08603:08:20.6, Redshift: -19.321-19:19:15.6
GRB Name: 220711B, Detection Day: 18:16:28, Detection Time: 1115766, XRT RA Coordinates: 262.01817:28:04.3, Redshift: 24.67424:40:26.4
GRB Name: 220710A, Detection Day: 03:29:34, Detection Time: BAT/GUANO, XRT RA Coordinates: 221.59214:46:22.1, Redshift: 20.65720:39:25.2
GRB Name: 220708B, Detection Day: 02:06:57, Detection Time: BAT/GUANO, XRT RA Coordinates: 248.65216:34:36.5, Redshift: 36.33836:20:16.8
GRB Name: 220708A, Detection Day: 04:39:29, Detection Time: 1115156, XRT RA Coordinates: 103.03806:52:09.1, Redshift: 72.19972:11:56.4
GRB Name: 220706A, Detection Day: 16:09:14, Detection Time: 1114937, XRT RA Coordinates: 0.57700:02:18.5, Redshift: -16.411-16:24:39.6
GRB Name: 220701A, Detection Day: 04:52:58, Detection Time: 1114034, XRT RA Coordinates: 242.47416:09:53.8, Redshift: 55.43655:26:09.6
GRB Name: 220627A, Detection Day: 21:21:00, Detection Time: Fermi, XRT RA Coordinates: 211.514:06:00.0, Redshift: -35.1-35:06:00.0
GRB Name: 220623A, Detection Day: 07:04:14, Detection Time: 1111672, XRT RA Coordinates: 145.45909:41:50.2, Redshift: 75.82375:49:22.8
GRB Name: 220618A, Detection Day: 09:10:29, Detection Time: 1110821, XRT RA Coordinates: 38.98602:35:56.6, Redshift: 55.21855:13:04.8
GRB Name: 220611A, Detection Day: 18:01:51, Detection Time: 1110090, XRT RA Coordinates: 66.50504:26:01.2, Redshift: -37.265-37:15:54.0
GRB Name: 220606B, Detection Day: 01:03:28, Detection Time: BAT/GUNAO, XRT RA Coordinates: 28.47401:53:53.8, Redshift: -54.471-54:28:15.6
GRB Name: 220527A, Detection Day: 09:17:14.55, Detection Time: AGILE, XRT RA Coordinates: n/a, Redshift: n/a
GRB Name: 220521A, Detection Day: 23:20:21, Detection Time: 1107466, XRT RA Coordinates: 275.21818:20:52.3, Redshift: 10.37210:22:19.2
GRB Name: 220518A, Detection Day: 06:19:20, Detection Time: 1107050, XRT RA Coordinates: 55.34003:41:21.6, Redshift: -47.593-47:35:34.8
GRB Name: 220511A, Detection Day: 13:47:57, Detection Time: BAT/GUANO, XRT RA Coordinates: 287.44619:09:47.0, Redshift: 17.73917:44:20.4
GRB Name: 220506A, Detection Day: 06:28:15, Detection Time: MAXI, XRT RA Coordinates: 239.69815:58:47.5, Redshift: -26.668-26:40:04.8
GRB Name: 220501A, Detection Day: 19:51:51, Detection Time: 1104842, XRT RA Coordinates: 85.58305:42:19.9, Redshift: 14.01014:00:36.0
GRB Name: 220430A, Detection Day: 13:53:15, Detection Time: 1104692, XRT RA Coordinates: 97.61606:30:27.8, Redshift: 9.54709:32:49.2
GRB Name: 220427A, Detection Day: 21:00:34, Detection Time: 1104343, XRT RA Coordinates: 275.92218:23:41.3, Redshift: -56.257-56:15:25.2
GRB Name: 220418B, Detection Day: 17:16:21, Detection Time: BAT/GUANO, XRT RA Coordinates: 224.34414:57:22.6, Redshift: -17.539-17:32:20.4
GRB Name: 220412B, Detection Day: 17:06:49, Detection Time: 1102329, XRT RA Coordinates: 320.75821:23:01.9, Redshift: -0.261-00:15:39.6
GRB Name: 220412A, Detection Day: 06:36:50, Detection Time: 1102281, XRT RA Coordinates: 123.97508:15:54.0, Redshift: 30.33630:20:09.6
GRB Name: 220408A, Detection Day: 05:46:04, Detection Time: 1101675, XRT RA Coordinates: 202.39913:29:35.8, Redshift: 47.06547:03:54.0
GRB Name: 220404A, Detection Day: 11:54:30, Detection Time: 1101133, XRT RA Coordinates: 50.41303:21:39.1, Redshift: 10.00110:00:03.6
GRB Name: 220403B, Detection Day: 20:42:42, Detection Time: 1101053, XRT RA Coordinates: 190.97412:43:53.8, Redshift: 89.18089:10:48.0
GRB Name: 220325A, Detection Day: 17:16:23, Detection Time: 1099310, XRT RA Coordinates: 269.46917:57:52.6, Redshift: -7.055-07:03:18.0
GRB Name: 220319A, Detection Day: 17:40:33, Detection Time: 1098132, XRT RA Coordinates: 218.13914:32:33.4, Redshift: 61.29161:17:27.6
GRB Name: 220306B, Detection Day: 18:15:37, Detection Time: 1095288, XRT RA Coordinates: 5.38000:21:31.2, Redshift: 71.38471:23:02.4
GRB Name: 220305A, Detection Day: 16:13:08, Detection Time: 1095215, XRT RA Coordinates: 107.61007:10:26.4, Redshift: -37.703-37:42:10.8
GRB Name: 220302A, Detection Day: 07:40:19, Detection Time: 1094950, XRT RA Coordinates: 301.43220:05:43.7, Redshift: 49.38949:23:20.4
GRB Name: 220219B, Detection Day: 09:27:25, Detection Time: IPN, XRT RA Coordinates: n/a, Redshift: n/a
GRB Name: 220218A, Detection Day: 22:28:59, Detection Time: 1093860, XRT RA Coordinates: 133.83008:55:19.2, Redshift: 31.98431:59:02.4
GRB Name: 220210A, Detection Day: 23:56:38, Detection Time: BAT/GUANO, XRT RA Coordinates: 345.77823:03:06.7, Redshift: 61.82661:49:33.6
GRB Name: 220118A, Detection Day: 18:20:38, Detection Time: 1093742, XRT RA Coordinates: 192.27712:49:06.5, Redshift: 22.91122:54:39.6
GRB Name: 220117C, Detection Day: 04:45:55, Detection Time: BAT/GUANO, XRT RA Coordinates: 286.45719:05:49.7, Redshift: 16.79116:47:27.6
GRB Name: 220117B, Detection Day: 20:05:28, Detection Time: 1093611, XRT RA Coordinates: 191.98912:47:57.4, Redshift: -28.762-28:45:43.2
GRB Name: 220117A, Detection Day: 16:18:51, Detection Time: 1093592, XRT RA Coordinates: 91.59006:06:21.6, Redshift: -28.402-28:24:07.2
GRB Name: 220107B, Detection Day: 19:01:33.52, Detection Time: Fermi, XRT RA Coordinates: 216.514:25:60.0, Redshift: 20.020:00:00.0
GRB Name: 220107A, Detection Day: 14:45:31, Detection Time: BAT/GUANO, XRT RA Coordinates: 169.76111:19:02.6, Redshift: 34.13934:08:20.4
GRB Name: 220101A, Detection Day: 05:09:55, Detection Time: 1091527, XRT RA Coordinates: 1.36000:05:26.4, Redshift: 31.75831:45:28.8
GRB Name: 211229A, Detection Day: 03:29:15, Detection Time: BAT/GUANO, XRT RA Coordinates: 295.04419:40:10.6, Redshift: 23.13323:07:58.8
GRB Name: 211227A, Detection Day: 23:32:06, Detection Time: 1091101, XRT RA Coordinates: 132.14408:48:34.6, Redshift: -2.736-02:44:09.6
GRB Name: 211225B, Detection Day: 13:12:19, Detection Time: 1090853, XRT RA Coordinates: 258.54517:14:10.8, Redshift: 17.27717:16:37.2
GRB Name: 211223C, Detection Day: 14:29:26, Detection Time: 1090656, XRT RA Coordinates: 227.16515:08:39.6, Redshift: -26.878-26:52:40.8
GRB Name: 211221A, Detection Day: 20:48:40, Detection Time: 1090472, XRT RA Coordinates: 78.90605:15:37.4, Redshift: 0.90200:54:07.2
GRB Name: 211211A, Detection Day: 13:09:59, Detection Time: 1088940, XRT RA Coordinates: 212.27214:09:05.3, Redshift: 27.88427:53:02.4
GRB Name: 211207A, Detection Day: 20:52:56, Detection Time: 1088376, XRT RA Coordinates: 149.60109:58:24.2, Redshift: -24.360-24:21:36.0
GRB Name: 211129A, Detection Day: 09:51:06, Detection Time: 1085430, XRT RA Coordinates: 274.56518:18:15.6, Redshift: 31.78131:46:51.6
GRB Name: 211107B, Detection Day: 17:27:10, Detection Time: Ground Analysis, XRT RA Coordinates: 65.794904:23:10.8, Redshift: -27.5524-27:33:08.6
GRB Name: 211106A, Detection Day: 04:37:31.2, Detection Time: BAT/GUANO, XRT RA Coordinates: 343.64322:54:34.3, Redshift: -53.236-53:14:09.6
GRB Name: 211025A, Detection Day: 05:10:20, Detection Time: 1081113, XRT RA Coordinates: 162.40710:49:37.7, Redshift: 31.50631:30:21.6
GRB Name: 211024B, Detection Day: 22:20:36, Detection Time: 1081073, XRT RA Coordinates: 154.70810:18:49.9, Redshift: 24.56624:33:57.6
GRB Name: 211024A, Detection Day: 01:34:11.4, Detection Time: BAT/GUANO, XRT RA Coordinates: 28.05301:52:12.7, Redshift: -6.973-06:58:22.8
GRB Name: 211023B, Detection Day: 21:05:52, Detection Time: 1080859, XRT RA Coordinates: 170.31411:21:15.4, Redshift: 39.13339:07:58.8
GRB Name: 210930A, Detection Day: 02:46:52, Detection Time: 1075565, XRT RA Coordinates: 197.41513:09:39.6, Redshift: 48.63048:37:48.0
GRB Name: 210928A, Detection Day: 02:00:31, Detection Time: Fermi, XRT RA Coordinates: 245.8816:23:31.2, Redshift: -17.91-17:54:36.0
GRB Name: 210919A, Detection Day: 00:28:33, Detection Time: 1073893, XRT RA Coordinates: 80.24205:20:58.1, Redshift: 1.28601:17:09.6
GRB Name: 210912A, Detection Day: 11:01:11, Detection Time: 1072990, XRT RA Coordinates: 129.87408:39:29.8, Redshift: 79.21679:12:57.6
GRB Name: 210905A, Detection Day: 00:12:41, Detection Time: 1071993, XRT RA Coordinates: 309.06220:36:14.9, Redshift: -44.431-44:25:51.6
GRB Name: 210901A, Detection Day: 15:04:36, Detection Time: 1071488, XRT RA Coordinates: 295.22419:40:53.8, Redshift: -76.942-76:56:31.2
GRB Name: 210827A, Detection Day: 09:59:24.34, Detection Time: BAT/GUANO, XRT RA Coordinates: 174.918111:39:40.3, Redshift: 55.785855:47:08.9
GRB Name: 210824A, Detection Day: 04:10:01, Detection Time: 1070157, XRT RA Coordinates: 232.11515:28:27.6, Redshift: 11.16911:10:08.4
GRB Name: 210822A, Detection Day: 09:18:18, Detection Time: 1069788, XRT RA Coordinates: 304.46120:17:50.6, Redshift: 5.26505:15:54.0
GRB Name: 210820A, Detection Day: 17:38:00, Detection Time: 1069551, XRT RA Coordinates: 20.62201:22:29.3, Redshift: 4.64204:38:31.2
GRB Name: 210818A, Detection Day: 01:02:08, Detection Time: 1069169, XRT RA Coordinates: 148.94909:55:47.8, Redshift: -87.029-87:01:44.4
GRB Name: 210807C, Detection Day: 22:57:08, Detection Time: 1064421, XRT RA Coordinates: 143.54009:34:09.6, Redshift: -51.409-51:24:32.4
GRB Name: 210807A, Detection Day: 10:03:40, Detection Time: 1064221, XRT RA Coordinates: 76.66605:06:39.8, Redshift: 58.25758:15:25.2
GRB Name: 210802A, Detection Day: 20:08:06.49, Detection Time: Fermi, XRT RA Coordinates: 230.915:23:36.0, Redshift: 29.829:48:00.0
GRB Name: 210731A, Detection Day: 22:21:08, Detection Time: 1062336, XRT RA Coordinates: 300.31120:01:14.6, Redshift: -28.056-28:03:21.6
GRB Name: 210730A, Detection Day: 04:57:29, Detection Time: 1062150, XRT RA Coordinates: 149.57009:58:16.8, Redshift: 69.70369:42:10.8
GRB Name: 210726A, Detection Day: 19:19:03, Detection Time: 1061687, XRT RA Coordinates: 193.33312:53:19.9, Redshift: 19.21119:12:39.6
